observation,frequency,state_std,state_dev,lim_std,lim_dev,tau_std,tau_dev,d,rule,dpos,trial_type,sigma_q_std,sigma_q_dev,sigma_r,ITI,duration_tones,ISI,trial_n,run_n,session_n
-0.5914,619.1044,-0.5921,-0.4898,-0.6000,-0.4999,40,5,2,2,,0,0.0111,0.0300,0.0025,6,0.1000,0.6500,0,0,0
-0.5909,619.2346,-0.5917,-0.4898,-0.6000,-0.4999,40,5,2,2,,0,0.0111,0.0300,0.0025,6,0.1000,0.6500,0,0,0
-0.5814,622.2491,-0.5838,-0.4898,-0.6000,-0.4999,40,5,2,2,,0,0.0111,0.0300,0.0025,6,0.1000,0.6500,0,0,0
-0.5704,625.7158,-0.5741,-0.4898,-0.6000,-0.4999,40,5,2,2,,0,0.0111,0.0300,0.0025,6,0.1000,0.6500,0,0,0
-0.5788,623.0681,-0.5745,-0.4898,-0.6000,-0.4999,40,5,2,2,,0,0.0111,0.0300,0.0026,6,0.1000,0.6500,0,0,0
-0.5644,627.6147,-0.5663,-0.4898,-0.6000,-0.4999,40,5,2,2,,0,0.0111,0.0300,0.0026,6,0.1000,0.6500,0,0,0
-0.5752,624.1987,-0.5717,-0.4898,-0.6000,-0.4999,40,5,2,2,,0,0.0111,0.0300,0.0026,6,0.1000,0.6500,0,0,0
-0.5929,618.6323,-0.5935,-0.4898,-0.6000,-0.4999,40,5,2,2,,0,0.0111,0.0300,0.0026,6,0.1000,0.6500,0,0,0
-0.5933,618.5071,-0.5935,-0.4837,-0.6000,-0.4999,40,5,2,0,3,0,0.0111,0.0300,0.0026,6,0.1000,0.6500,1,0,0
-0.6055,614.6665,-0.6066,-0.4837,-0.6000,-0.4999,40,5,2,0,3,0,0.0111,0.0300,0.0026,6,0.1000,0.6500,1,0,0
-0.6192,610.4183,-0.6172,-0.4837,-0.6000,-0.4999,40,5,2,0,3,0,0.0111,0.0300,0.0027,6,0.1000,0.6500,1,0,0
-0.4878,652.2783,-0.6372,-0.4837,-0.6000,-0.4999,40,5,2,0,3,1,0.0111,0.0300,0.0027,6,0.1000,0.6500,1,0,0
-0.6345,605.6773,-0.6298,-0.4837,-0.6000,-0.4999,40,5,2,0,3,0,0.0111,0.0300,0.0027,6,0.1000,0.6500,1,0,0
-0.6316,606.5705,-0.6305,-0.4837,-0.6000,-0.4999,40,5,2,0,3,0,0.0111,0.0300,0.0027,6,0.1000,0.6500,1,0,0
-0.6135,612.1649,-0.6151,-0.4837,-0.6000,-0.4999,40,5,2,0,3,0,0.0111,0.0300,0.0027,6,0.1000,0.6500,1,0,0
-0.6179,610.8226,-0.6187,-0.4837,-0.6000,-0.4999,40,5,2,0,3,0,0.0111,0.0300,0.0027,6,0.1000,0.6500,1,0,0
-0.6173,610.9829,-0.6187,-0.4761,-0.6000,-0.4999,40,5,2,0,2,0,0.0111,0.0300,0.0028,6,0.1000,0.6500,2,0,0
-0.6277,607.7609,-0.6246,-0.4761,-0.6000,-0.4999,40,5,2,0,2,0,0.0111,0.0300,0.0028,6,0.1000,0.6500,2,0,0
-0.4775,655.6480,-0.6389,-0.4761,-0.6000,-0.4999,40,5,2,0,2,1,0.0111,0.0300,0.0028,6,0.1000,0.6500,2,0,0
-0.6441,602.6952,-0.6430,-0.4761,-0.6000,-0.4999,40,5,2,0,2,0,0.0111,0.0300,0.0028,6,0.1000,0.6500,2,0,0
-0.6352,605.4359,-0.6337,-0.4761,-0.6000,-0.4999,40,5,2,0,2,0,0.0111,0.0300,0.0028,6,0.1000,0.6500,2,0,0
-0.6363,605.0983,-0.6365,-0.4761,-0.6000,-0.4999,40,5,2,0,2,0,0.0111,0.0300,0.0028,6,0.1000,0.6500,2,0,0
-0.6404,603.8312,-0.6428,-0.4761,-0.6000,-0.4999,40,5,2,0,2,0,0.0111,0.0300,0.0028,6,0.1000,0.6500,2,0,0
-0.6347,605.5894,-0.6363,-0.4761,-0.6000,-0.4999,40,5,2,0,2,0,0.0111,0.0300,0.0029,6,0.1000,0.6500,2,0,0
-0.6352,605.4582,-0.6363,-0.5114,-0.6000,-0.4999,40,5,2,0,4,0,0.0111,0.0300,0.0029,6,0.1000,0.6500,3,0,0
-0.6578,598.5018,-0.6515,-0.5114,-0.6000,-0.4999,40,5,2,0,4,0,0.0111,0.0300,0.0029,6,0.1000,0.6500,3,0,0
-0.6496,601.0240,-0.6472,-0.5114,-0.6000,-0.4999,40,5,2,0,4,0,0.0111,0.0300,0.0029,6,0.1000,0.6500,3,0,0
-0.6225,609.3667,-0.6219,-0.5114,-0.6000,-0.4999,40,5,2,0,4,0,0.0111,0.0300,0.0029,6,0.1000,0.6500,3,0,0
-0.5167,642.8688,-0.6428,-0.5114,-0.6000,-0.4999,40,5,2,0,4,1,0.0111,0.0300,0.0029,6,0.1000,0.6500,3,0,0
